equation,section,manual_page,pdf_page,algorithm_ids,mapping_status,notes
2-79,Wind Cartesian Coordinate System,2-29,58,"[""TAOS-ALG-COORD-017""]",mapped,Total angle of attack definition
2-80,Wind Cartesian Coordinate System,2-29,58,"[""TAOS-ALG-COORD-017""]",mapped,Windward meridian definition
2-81,Wind Cartesian Coordinate System,2-30,59,"[""TAOS-ALG-COORD-017""]",mapped,Total angle of attack from alpha and Euler sideslip
2-82,Wind Cartesian Coordinate System,2-30,59,"[""TAOS-ALG-COORD-017""]",mapped,Windward meridian from alpha and Euler sideslip
2-83,Wind Cartesian Coordinate System,2-30,59,"[""TAOS-ALG-COORD-017""]",mapped,Sideslip from alpha and Euler sideslip
2-84,Wind Cartesian Coordinate System,2-30,59,"[""TAOS-ALG-COORD-017""]",mapped,Total angle of attack from alpha and sideslip
2-85,Wind Cartesian Coordinate System,2-30,59,"[""TAOS-ALG-COORD-017""]",mapped,Windward meridian from alpha and sideslip
2-86,Wind Cartesian Coordinate System,2-30,59,"[""TAOS-ALG-COORD-017""]",mapped,Euler sideslip from alpha and sideslip
2-87,Wind Cartesian Coordinate System,2-30,59,"[""TAOS-ALG-COORD-017""]",mapped,Angle of attack from total angle and windward meridian
2-88,Wind Cartesian Coordinate System,2-30,59,"[""TAOS-ALG-COORD-017""]",mapped,Sideslip from total angle and windward meridian
2-89,Wind Cartesian Coordinate System,2-30,59,"[""TAOS-ALG-COORD-017""]",mapped,Euler sideslip from total angle and windward meridian
2-90,Tangent Plane Cartesian Coordinate System,2-33,62,"[""TAOS-ALG-COORD-019""]",mapped,Tangent-plane x unit vector
2-91,Tangent Plane Cartesian Coordinate System,2-33,62,"[""TAOS-ALG-COORD-019""]",mapped,Tangent-plane y unit vector
2-92,Tangent Plane Cartesian Coordinate System,2-33,62,"[""TAOS-ALG-COORD-019""]",mapped,Tangent-plane z unit vector
2-93,Coordinate Transformations,2-35,64,"[""TAOS-ALG-COORD-020""]",mapped,ECFC-to-body projection of propulsive force
2-94,Coordinate Transformations,2-35,64,"[""TAOS-ALG-COORD-020""]",mapped,Inverse body-to-ECFC force transformation
2-95,Coordinate Transformations,2-35,64,"[""TAOS-ALG-COORD-020""]",mapped,Transpose form of body-to-ECFC force transformation
2-96,Coordinate Transformations,2-35,64,"[""TAOS-ALG-COORD-020""]",mapped,Column-vector form of body-to-ECFC force transformation
2-97,Equations of Motion,2-36,65,"[""TAOS-ALG-DYN-001""]",mapped,Newton second law for a point mass
2-98,Equations of Motion,2-36,65,"[""TAOS-ALG-DYN-001""]",mapped,Inertial acceleration as the second position derivative
2-99,Equations of Motion,2-36,65,"[""TAOS-ALG-DYN-001""]",mapped,Transport theorem with earth-fixed inner derivative
2-100,Equations of Motion,2-36,65,"[""TAOS-ALG-DYN-001""]",mapped,Transport theorem evaluated in the rotating frame
2-101,Equations of Motion,2-36,65,"[""TAOS-ALG-DYN-001""]",mapped,Expanded inertial acceleration
2-102,Equations of Motion,2-36,65,"[""TAOS-ALG-DYN-001""]",mapped,Earth-relative velocity and acceleration definitions
2-103,Equations of Motion,2-37,66,"[""TAOS-ALG-DYN-001""]",mapped,Grouped inertial acceleration terms
2-104,Equations of Motion,2-37,66,"[""TAOS-ALG-DYN-001""]",mapped,Inertial and earth-fixed acceleration relationship
2-105,Equations of Motion,2-37,66,"[""TAOS-ALG-DYN-001""]",mapped,Earth-fixed rotating-earth equation of motion
2-106,Equations of Motion,2-37,66,"[""TAOS-ALG-DYN-001""]",mapped,First-order equations of motion
2-107,Numerical Integration,2-38,67,"[""TAOS-ALG-DYN-002""]",mapped,Six-component ECFC state vector
2-108,Numerical Integration,2-38,67,"[""TAOS-ALG-DYN-002""]",mapped,State derivative vector
2-109,Numerical Integration,2-38,67,"[""TAOS-ALG-DYN-002""]",mapped,ECFC x acceleration component
2-110,Numerical Integration,2-38,67,"[""TAOS-ALG-DYN-002""]",mapped,ECFC y acceleration component
2-111,Numerical Integration,2-38,67,"[""TAOS-ALG-DYN-002""]",mapped,ECFC z acceleration component
2-112,Numerical Integration,2-38,67,"[""TAOS-ALG-DYN-002""]",mapped,Earth spin-rate magnitude
2-113,Numerical Integration,2-39,68,"[""TAOS-ALG-DYN-002""]",mapped,Augmented integration state and derivative vectors
2-114,Numerical Integration,2-40,69,"[""TAOS-ALG-DYN-003""]",mapped,Fourth-order Runge-Kutta update
2-115,Numerical Integration,2-40,69,"[""TAOS-ALG-DYN-003""]",mapped,Runge-Kutta first derivative evaluation
2-116,Numerical Integration,2-40,69,"[""TAOS-ALG-DYN-003""]",mapped,Runge-Kutta second derivative evaluation
2-117,Numerical Integration,2-40,69,"[""TAOS-ALG-DYN-003""]",mapped,Runge-Kutta third derivative evaluation
2-118,Numerical Integration,2-40,69,"[""TAOS-ALG-DYN-003""]",mapped,Runge-Kutta fourth derivative evaluation
2-119,Rail Launches and Sled Tests,2-41,70,"[""TAOS-ALG-DYN-004""]",mapped,Rail-constrained ECFC acceleration components
2-120,Rail Launches and Sled Tests,2-41,70,"[""TAOS-ALG-DYN-004""]",mapped,Acceleration magnitude along the rail
2-121,Rail Launches and Sled Tests,2-41,70,"[""TAOS-ALG-DYN-004""]",mapped,Acceleration loss from rail friction
2-122,Rail Launches and Sled Tests,2-41,70,"[""TAOS-ALG-DYN-004""]",mapped,Acceleration normal to the rail
2-123,Longitude Latitude and Altitude Rates,2-42,71,"[""TAOS-ALG-DYN-005""]",mapped,Sine of longitude
2-124,Longitude Latitude and Altitude Rates,2-42,71,"[""TAOS-ALG-DYN-005""]",mapped,Cosine of longitude
2-125,Longitude Latitude and Altitude Rates,2-42,71,"[""TAOS-ALG-DYN-005""]",mapped,Longitude inverse-tangent definition
2-126,Longitude Latitude and Altitude Rates,2-42,71,"[""TAOS-ALG-DYN-005""]",mapped,Longitude rate in ECFC components
2-127,Longitude Latitude and Altitude Rates,2-42,71,"[""TAOS-ALG-DYN-005""]",mapped,Longitude rate in unit-vector form
2-128,Longitude Latitude and Altitude Rates,2-43,72,"[""TAOS-ALG-DYN-005""]",mapped,Geocentric latitude rate
2-129,Longitude Latitude and Altitude Rates,2-43,72,"[""TAOS-ALG-DYN-006""]",mapped,Starting identity for geodetic latitude rate
2-130,Longitude Latitude and Altitude Rates,2-43,72,"[""TAOS-ALG-DYN-006""]",mapped,Differentiated geodetic latitude identity
2-131,Longitude Latitude and Altitude Rates,2-43,72,"[""TAOS-ALG-DYN-006""]",mapped,General geodetic latitude-rate solution
2-132,Longitude Latitude and Altitude Rates,2-43,72,"[""TAOS-ALG-DYN-006""]",mapped,Equatorial projection definition for rate derivation
2-133,Longitude Latitude and Altitude Rates,2-43,72,"[""TAOS-ALG-DYN-006""]",mapped,Equatorial projection rate
2-134,Longitude Latitude and Altitude Rates,2-43,72,"[""TAOS-ALG-DYN-006""]",mapped,ECFC z-position rate
2-135,Longitude Latitude and Altitude Rates,2-43,72,"[""TAOS-ALG-DYN-006""]",mapped,Altitude rate
2-136,Longitude Latitude and Altitude Rates,2-43,72,"[""TAOS-ALG-DYN-006""]",mapped,Geodetic latitude rate using the ellipsoid normal radius
2-137,Longitude Latitude and Altitude Rates,2-43,72,"[""TAOS-ALG-DYN-006""]",mapped,Final geodetic latitude-rate expression
2-138,Longitude Latitude and Altitude Rates,2-44,73,"[""TAOS-ALG-DYN-007""]",mapped,Altitude acceleration
2-139,Longitude Latitude and Altitude Rates,2-44,73,"[""TAOS-ALG-DYN-007""]",mapped,Derivative definition for the geodetic down unit vector
2-140,Longitude Latitude and Altitude Rates,2-44,73,"[""TAOS-ALG-DYN-007""]",mapped,Expanded geodetic down-unit-vector derivative
2-141,Longitude Latitude and Altitude Rates,2-44,73,"[""TAOS-ALG-DYN-008""]",mapped,Dynamic-pressure definition used for rates
2-142,Longitude Latitude and Altitude Rates,2-44,73,"[""TAOS-ALG-DYN-008""]",mapped,Approximated dynamic-pressure second derivative
2-143,Longitude Latitude and Altitude Rates,2-44,73,"[""TAOS-ALG-DYN-008""]",mapped,Atmospheric-density rate
2-144,Longitude Latitude and Altitude Rates,2-44,73,"[""TAOS-ALG-DYN-008""]",mapped,Approximated atmospheric-density second derivative
2-145,Longitude Latitude and Altitude Rates,2-45,74,"[""TAOS-ALG-DYN-009""]",mapped,Mach-number definition
2-146,Longitude Latitude and Altitude Rates,2-45,74,"[""TAOS-ALG-DYN-009""]",mapped,Mach-number rate
2-147,Longitude Latitude and Altitude Rates,2-45,74,"[""TAOS-ALG-DYN-009""]",mapped,Speed-of-sound rate
2-148,Ground Speed and Range,2-46,75,"[""TAOS-ALG-DYN-010""]",mapped,Ground-speed vector definition
2-149,Ground Speed and Range,2-46,75,"[""TAOS-ALG-DYN-010""]",mapped,Surface-point relative velocity as an altitude-vector derivative
2-150,Ground Speed and Range,2-46,75,"[""TAOS-ALG-DYN-010""]",mapped,Expanded surface-point relative velocity
2-151,Ground Speed and Range,2-46,75,"[""TAOS-ALG-DYN-010""]",mapped,Ground-speed vector in geodetic components
2-152,Ground Speed and Range,2-46,75,"[""TAOS-ALG-DYN-010""]",mapped,Ground-speed vector from flight-path angles
2-153,Flight Path Angle Rates,2-47,76,"[""TAOS-ALG-DYN-011""]",mapped,Velocity-frame angular-velocity sum
2-154,Flight Path Angle Rates,2-47,76,"[""TAOS-ALG-DYN-011""]",mapped,ECFC-to-geodetic angular velocity
2-155,Flight Path Angle Rates,2-47,76,"[""TAOS-ALG-DYN-011""]",mapped,Geodetic-to-velocity angular velocity
2-156,Flight Path Angle Rates,2-47,76,"[""TAOS-ALG-DYN-011""]",mapped,Expanded velocity-frame angular velocity
2-157,Flight Path Angle Rates,2-47,76,"[""TAOS-ALG-DYN-011""]",mapped,Velocity-frame angular velocity y component
2-158,Flight Path Angle Rates,2-47,76,"[""TAOS-ALG-DYN-011""]",mapped,Heading term orthogonality
2-159,Flight Path Angle Rates,2-48,77,"[""TAOS-ALG-DYN-011""]",mapped,Simplified velocity-frame y angular-rate component
2-160,Flight Path Angle Rates,2-48,77,"[""TAOS-ALG-DYN-011""]",mapped,Velocity-frame angular velocity z component
2-161,Flight Path Angle Rates,2-48,77,"[""TAOS-ALG-DYN-011""]",mapped,Simplified velocity-frame z angular-rate component
2-162,Flight Path Angle Rates,2-48,77,"[""TAOS-ALG-DYN-011""]",mapped,Earth-fixed acceleration from velocity-frame differentiation
2-163,Flight Path Angle Rates,2-48,77,"[""TAOS-ALG-DYN-011""]",mapped,Speed rate from acceleration
2-164,Flight Path Angle Rates,2-48,77,"[""TAOS-ALG-DYN-011""]",mapped,Velocity-frame angular-velocity cross product
2-165,Flight Path Angle Rates,2-48,77,"[""TAOS-ALG-DYN-011""]",mapped,Acceleration decomposition in velocity coordinates
2-166,Flight Path Angle Rates,2-48,77,"[""TAOS-ALG-DYN-011""]",mapped,Velocity-frame y acceleration component
2-167,Flight Path Angle Rates,2-48,77,"[""TAOS-ALG-DYN-011""]",mapped,Velocity-frame z angular-rate component from acceleration
2-168,Flight Path Angle Rates,2-49,78,"[""TAOS-ALG-DYN-011""]",mapped,Velocity-frame z acceleration component
2-169,Flight Path Angle Rates,2-49,78,"[""TAOS-ALG-DYN-011""]",mapped,Velocity-frame y angular-rate component from acceleration
2-170,Flight Path Angle Rates,2-49,78,"[""TAOS-ALG-DYN-011""]",mapped,Geodetic vertical flight-path-angle rate
2-171,Flight Path Angle Rates,2-49,78,"[""TAOS-ALG-DYN-011""]",mapped,Geodetic heading rate
2-172,Specific Load Factors,2-50,79,"[""TAOS-ALG-DYN-012""]",mapped,Specific-load vector from inertial and gravity acceleration
2-173,Specific Load Factors,2-50,79,"[""TAOS-ALG-DYN-012""]",mapped,Specific-load vector from aerodynamic and propulsive forces
2-174,Specific Load Factors,2-50,79,"[""TAOS-ALG-DYN-012""]",mapped,Normal specific-load magnitude
2-175,Contributions to Acceleration,2-51,80,"[""TAOS-ALG-ENV-001""]",mapped,"Vehicle acceleration with force, Coriolis, and centrifugal contributions"
2-176,Atmosphere Model,2-52,81,"[""TAOS-ALG-ENV-003""]",mapped,Aerostatic pressure relation
2-177,Atmosphere Model,2-52,81,"[""TAOS-ALG-ENV-003""]",mapped,Perfect-gas law
2-178,Atmosphere Model,2-52,81,"[""TAOS-ALG-ENV-003""]",mapped,Constant molecular-temperature gradient within a layer
2-179,Atmosphere Model,2-53,82,"[""TAOS-ALG-ENV-003""]",mapped,Molecular temperature definition
2-180,Atmosphere Model,2-53,82,"[""TAOS-ALG-ENV-003""]",mapped,Geopotential altitude integral
2-181,Atmosphere Model,2-53,82,"[""TAOS-ALG-ENV-003""]",mapped,Inverse-square gravity model for atmosphere calculations
2-182,Atmosphere Model,2-53,82,"[""TAOS-ALG-ENV-003""]",mapped,Closed-form geopotential altitude
2-183,Atmosphere Model,2-53,82,"[""TAOS-ALG-ENV-003""]",mapped,Lambert sea-level gravity equation
2-184,Atmosphere Model,2-53,82,"[""TAOS-ALG-ENV-003""]",mapped,Effective earth radius for geopotential calculations
2-185,Atmosphere Model,2-54,83,"[""TAOS-ALG-ENV-004""]",mapped,Molecular temperature within an atmosphere layer
2-186,Atmosphere Model,2-54,83,"[""TAOS-ALG-ENV-004""]",mapped,Molecular weight within an atmosphere layer
2-187,Atmosphere Model,2-54,83,"[""TAOS-ALG-ENV-004""]",mapped,Atmospheric temperature from molecular temperature
2-188,Atmosphere Model,2-54,83,"[""TAOS-ALG-ENV-004""]",mapped,Aerostatic relation in geopotential altitude
2-189,Atmosphere Model,2-54,83,"[""TAOS-ALG-ENV-004""]",mapped,Pressure in terms of molecular temperature
2-190,Atmosphere Model,2-54,83,"[""TAOS-ALG-ENV-004""]",mapped,Separable pressure differential equation
2-191,Atmosphere Model,2-54,83,"[""TAOS-ALG-ENV-004""]",mapped,Pressure in an isothermal atmosphere layer
2-192,Atmosphere Model,2-54,83,"[""TAOS-ALG-ENV-004""]",mapped,Pressure in a nonisothermal atmosphere layer
2-193,Atmosphere Model,2-55,84,"[""TAOS-ALG-ENV-004""]",mapped,Atmospheric density
2-194,Atmosphere Model,2-55,84,"[""TAOS-ALG-ENV-004""]",mapped,Speed of sound
2-195,Atmosphere Model,2-55,84,"[""TAOS-ALG-ENV-004""]",mapped,Kinematic viscosity from Sutherland formula
2-196,Aerodynamic Forces,2-56,85,"[""TAOS-ALG-FORCE-001""]",mapped,Body-frame windward-meridian unit vector
2-197,Aerodynamic Forces,2-56,85,"[""TAOS-ALG-FORCE-001""]",mapped,Aerodynamic force from axial and normal coefficients
2-198,Aerodynamic Forces,2-57,86,"[""TAOS-ALG-FORCE-002""]",mapped,Aerodynamic force from lift drag and side-force coefficients
2-199,Aerodynamic Forces,2-57,86,"[""TAOS-ALG-FORCE-003""]",mapped,Aerodynamic force from body-axis coefficients
2-200,Propulsive Forces,2-59,88,"[""TAOS-ALG-FORCE-005""]",mapped,Body-frame propulsive force vector
2-201,Gravity Model,2-60,89,"[""TAOS-ALG-GRAV-001""]",mapped,Gravity acceleration as geopotential gradient
2-202,Gravity Model,2-60,89,"[""TAOS-ALG-GRAV-001""]",mapped,Full spherical-harmonic geopotential expansion
2-203,Gravity Model,2-60,89,"[""TAOS-ALG-GRAV-001""]",mapped,Point-mass geopotential term
2-204,Gravity Model,2-60,89,"[""TAOS-ALG-GRAV-001""]",mapped,Zonal geopotential using C coefficients
2-205,Gravity Model,2-61,90,"[""TAOS-ALG-GRAV-001""]",mapped,Zonal geopotential using J coefficients
2-206,Gravity Model,2-61,90,"[""TAOS-ALG-GRAV-002""]",mapped,Associated Legendre function definition
2-207,Gravity Model,2-61,90,"[""TAOS-ALG-GRAV-002""]",mapped,Order-zero Legendre function definition
2-208,Gravity Model,2-61,90,"[""TAOS-ALG-GRAV-002""]",mapped,Legendre derivative notation
2-209,Gravity Model,2-61,90,"[""TAOS-ALG-GRAV-002""]",mapped,First four order-zero Legendre functions
2-210,Gravity Model,2-61,90,"[""TAOS-ALG-GRAV-003""]",mapped,Normalized Legendre function
2-211,Gravity Model,2-62,91,"[""TAOS-ALG-GRAV-003""]",mapped,Normalized spherical-harmonic coefficient
2-212,Gravity Model,2-62,91,"[""TAOS-ALG-GRAV-004""]",mapped,Geocentric north gravity component from the geopotential
2-213,Gravity Model,2-62,91,"[""TAOS-ALG-GRAV-004""]",mapped,Geocentric east gravity component from the geopotential
2-214,Gravity Model,2-62,91,"[""TAOS-ALG-GRAV-004""]",mapped,Geocentric inward gravity component from the geopotential
2-215,Gravity Model,2-62,91,"[""TAOS-ALG-GRAV-004""]",mapped,Full spherical-harmonic geocentric north acceleration
2-216,Gravity Model,2-62,91,"[""TAOS-ALG-GRAV-004""]",mapped,Full spherical-harmonic geocentric east acceleration
2-217,Gravity Model,2-62,91,"[""TAOS-ALG-GRAV-004""]",mapped,Full spherical-harmonic geocentric inward acceleration
2-218,Gravity Model,2-63,92,"[""TAOS-ALG-GRAV-005""]",mapped,J2-only geocentric north acceleration
2-219,Gravity Model,2-63,92,"[""TAOS-ALG-GRAV-005""]",mapped,J2-only geocentric east acceleration
2-220,Gravity Model,2-63,92,"[""TAOS-ALG-GRAV-005""]",mapped,J2-only geocentric inward acceleration
2-221,Ranges and Distances,2-67,96,"[""TAOS-ALG-GEO-001""]",mapped,Sodano inverse ellipsoidal surface distance
2-222,Ranges and Distances,2-67,96,"[""TAOS-ALG-GEO-001""]",mapped,Sodano auxiliary central angle
2-223,Ranges and Distances,2-67,96,"[""TAOS-ALG-GEO-001""]",mapped,Sodano inverse auxiliary m
2-224,Ranges and Distances,2-67,96,"[""TAOS-ALG-GEO-001""]",mapped,Reduced latitude beta1
2-225,Ranges and Distances,2-67,96,"[""TAOS-ALG-GEO-001""]",mapped,Reduced latitude beta2
