id,catalog_status,roadmap_status,binding_documented,target_importable,verification_paths_exist,implementation_stage,historical_equivalence,target,documented_binding,verification_tests,source_pages,test_plan_units
TAOS-ALG-ENV-002,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.atmosphere.prepare_atmosphere_model,taoryx.atmosphere.prepare_atmosphere_model,tests/unit/test_atmosphere.py,2-52;2-53;2-54;2-55,1
TAOS-ALG-ENV-003,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.atmosphere.geopotential_altitude,taoryx.atmosphere.geopotential_altitude,tests/unit/test_atmosphere.py,2-52;2-53,1
TAOS-ALG-ENV-004,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.atmosphere.atmosphere_properties,taoryx.atmosphere.atmosphere_properties,tests/unit/test_atmosphere.py,2-54;2-55,1
TAOS-ALG-ENV-005,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.atmosphere.high_altitude_atmosphere,taoryx.atmosphere.high_altitude_atmosphere,tests/unit/test_atmosphere.py,2-55,0
TAOS-ALG-FORCE-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.aerodynamics.force_from_axial_normal_coefficients,taoryx.forces.force_from_axial_normal_coefficients,tests/unit/test_forces.py,2-56,1
TAOS-ALG-FORCE-002,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.aerodynamics.force_from_wind_coefficients,taoryx.forces.force_from_wind_coefficients,tests/unit/test_forces.py,2-57,1
TAOS-ALG-FORCE-003,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.aerodynamics.force_from_body_coefficients,taoryx.forces.force_from_body_coefficients,tests/unit/test_forces.py,2-57,1
TAOS-ALG-FORCE-004,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.aerodynamics.evaluate_aerodynamic_forces,taoryx.forces.evaluate_aerodynamic_forces,tests/unit/test_forces.py,2-56;2-57;2-58,1
TAOS-ALG-FORCE-005,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.propulsion.evaluate_propulsive_forces,taoryx.forces.propulsive_force,tests/unit/test_forces.py,2-59,2
TAOS-ALG-GRAV-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.gravity.geopotential,taoryx.gravity.geopotential,tests/unit/test_gravity.py,2-60;2-61,1
TAOS-ALG-GRAV-002,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.gravity.associated_legendre,taoryx.gravity.associated_legendre,tests/unit/test_gravity.py,2-61,1
TAOS-ALG-GRAV-003,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.gravity.harmonic_normalization_factor,taoryx.gravity.harmonic_normalization_factor,tests/unit/test_gravity.py,2-61;2-62,0
TAOS-ALG-GRAV-004,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.gravity.gravity_acceleration_full,taoryx.gravity.gravity_acceleration_full,tests/unit/test_gravity.py,2-62,1
TAOS-ALG-GRAV-005,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.gravity.gravity_acceleration_j2,taoryx.gravity.gravity_acceleration_j2,tests/unit/test_gravity.py,2-63,1
TAOS-ALG-OUT-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.outputs.build_output_evaluation_plan,taoryx.outputs.build_output_evaluation_plan,tests/unit/test_outputs.py,2-64;2-65,1
TAOS-ALG-GEO-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.geodesy.sodano_inverse,taoryx.geodesy.sodano_inverse,tests/unit/test_geodesy.py,2-67;2-68,1
TAOS-ALG-GEO-002,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.geodesy.downrange_crossrange,taoryx.geodesy.downrange_crossrange,tests/unit/test_geodesy.py,2-68;2-69,1
TAOS-ALG-GEO-003,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.geodesy.sodano_direct,taoryx.geodesy.sodano_direct,tests/unit/test_geodesy.py,2-69;2-70,0
TAOS-ALG-RADAR-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.radar.radar_observations,taoryx.radar.radar_observations,tests/unit/test_radar.py,2-71;2-72;2-73,1
TAOS-ALG-REL-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.relative_motion.relative_vehicle_observations,taoryx.radar.relative_vehicle_observations,tests/unit/test_radar.py,2-74,1
TAOS-ALG-IIP-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.iip.iip_derivatives,taoryx.iip.iip_derivatives,tests/unit/test_iip.py,2-75,1
TAOS-ALG-IIP-002,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.integration.rkf45_step,taoryx.integration.rkf45_step,tests/unit/test_integration.py,2-75;2-76,1
TAOS-ALG-IIP-003,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.iip.initial_impact_point,taoryx.iip.initial_impact_point,tests/unit/test_iip.py,2-75;2-76,0
TAOS-ALG-AERO-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.aerodynamics.aerodynamic_performance_metrics,taoryx.aerodynamics.aerodynamic_performance_metrics,tests/unit/test_aerodynamics.py,2-77,1
TAOS-ALG-AERO-002,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.aerodynamics.maximum_lift_to_drag,taoryx.aerodynamics.maximum_lift_to_drag,tests/unit/test_aerodynamics.py,2-77,1
TAOS-ALG-GUID-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.guidance.classify_guidance_rules,taoryx.guidance.classify_guidance_rules,tests/unit/test_guidance.py,2-78;2-79;2-80;2-81,1
TAOS-ALG-GUID-002,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.guidance.solve_guidance,taoryx.guidance.solve_guidance,tests/unit/test_guidance.py,2-81;2-82;2-83;2-84,1
TAOS-ALG-GUID-003,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.guidance.parabolic_guidance_correction,taoryx.guidance.parabolic_guidance_correction,tests/unit/test_guidance.py,2-82;2-83,1
TAOS-ALG-GUID-004,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.guidance.cubic_guidance_correction,taoryx.guidance.cubic_guidance_correction,tests/unit/test_guidance.py,2-83;2-84,1
TAOS-ALG-GUID-005,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.numeric.newton_system,taoryx.numeric.newton_system,tests/unit/test_guidance.py,2-84,1
TAOS-ALG-GUID-006,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.guidance.predictive_intercept,taoryx.guidance.predictive_intercept,tests/unit/test_guidance.py,2-85,1
TAOS-ALG-GUID-007,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.guidance.proportional_navigation,taoryx.guidance.proportional_navigation,tests/unit/test_radar.py,2-87;2-88,1
TAOS-ALG-GUID-008,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.guidance.range_insensitive_axis,taoryx.guidance.range_insensitive_axis,tests/unit/test_guidance.py;tests/unit/test_runtime_lowering.py,2-89,0
TAOS-ALG-GUID-009,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.guidance.apply_flight_path_limits,taoryx.guidance.apply_flight_path_limits,tests/unit/test_guidance.py,2-90,1
TAOS-ALG-SEARCH-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.searches.newton_root,taoryx.searches.newton_root,tests/unit/test_searches.py,2-98,1
TAOS-ALG-SEARCH-002,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.searches.secant_bracketed_root,taoryx.searches.secant_bracketed_root,tests/unit/test_searches.py,2-99,0
TAOS-ALG-SEARCH-003,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.searches.parabolic_root,taoryx.searches.parabolic_root,tests/unit/test_searches.py,2-100;2-99,1
TAOS-ALG-SEARCH-004,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.searches.golden_section_minimize,taoryx.searches.golden_section_minimize,tests/unit/test_searches.py,2-101,1
TAOS-ALG-SEARCH-005,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.searches.parabolic_minimize,taoryx.searches.parabolic_minimize,tests/unit/test_searches.py,2-101,1
TAOS-ALG-OPT-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.optimization.build_optimization_problem,taoryx.optimization.build_optimization_problem,tests/unit/test_optimization.py,2-102,1
TAOS-ALG-OPT-002,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.optimization.han_powell_rqp,taoryx.optimization.han_powell_rqp,tests/unit/test_optimization.py,2-102;2-103,0
TAOS-ALG-OPT-003,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.optimization.path_violation_integral,taoryx.optimization.path_violation_integral,tests/unit/test_optimization.py,2-104,1
TAOS-ALG-OPT-004,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.numeric.finite_difference_jacobian,taoryx.numeric.finite_difference_jacobian,tests/unit/test_numeric.py,2-104;2-105,1
TAOS-ALG-OPT-005,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.optimization.redistribute_control_history,taoryx.optimization.redistribute_control_history,tests/unit/test_optimization.py,2-103;2-104,0
TAOS-ALG-EXEC-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.engine.run_taos,taoryx.runtime.engine.run_taos,tests/unit/test_runtime_algorithms.py,2-91;2-92,1
TAOS-ALG-EXEC-002,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.runtime_model.build_runtime_problem,taoryx.runtime.runtime_model.build_runtime_problem,tests/unit/test_runtime_algorithms.py,2-92,1
TAOS-ALG-EXEC-003,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.engine.compute_trajectories,taoryx.runtime.engine.compute_trajectories,tests/unit/test_runtime_algorithms.py,2-92;2-93;2-94;2-95,1
TAOS-ALG-EXEC-004,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.engine.get_next_time_step,taoryx.runtime.engine.get_next_time_step,tests/unit/test_runtime_algorithms.py,2-93,1
TAOS-ALG-EXEC-005,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.engine.integrate_active_vehicles,taoryx.runtime.engine.integrate_active_vehicles,tests/unit/test_runtime_algorithms.py,2-93;2-94,0
TAOS-ALG-EXEC-006,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.events.refine_segment_final_condition,taoryx.runtime.events.refine_segment_final_condition,tests/unit/test_runtime_algorithms.py,2-94,1
TAOS-ALG-EXEC-007,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.engine.dispatch_search_and_restart,taoryx.runtime.engine.dispatch_search_and_restart,tests/unit/test_runtime_algorithms.py,2-94,1
TAOS-ALG-EXEC-008,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.engine.activate_dependent_vehicles,taoryx.runtime.engine.activate_dependent_vehicles,tests/unit/test_runtime_algorithms.py,2-94;2-95,1
TAOS-ALG-EXEC-009,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.engine.compute_derivatives,taoryx.runtime.engine.compute_derivatives,tests/unit/test_runtime_algorithms.py,2-96;2-97,1
TAOS-ALG-TABLE-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.tables.prepare_table,taoryx.tables.prepare_table,tests/unit/test_tables.py,3-6;3-7;3-8;3-9;3-10;3-11;3-12,1
TAOS-ALG-TABLE-002,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.tables.interpolate_nd,taoryx.tables.interpolate_nd,tests/unit/test_tables.py,3-9;3-10;3-11;3-12,1
TAOS-ALG-TABLE-003,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.tables.evaluate_full_table,taoryx.tables.evaluate_full_table,tests/unit/test_tables.py,3-13;3-14;3-15,1
TAOS-ALG-TABLE-004,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.tables.resolve_table_operand,taoryx.tables.resolve_table_operand,tests/unit/test_tables.py,3-16;3-17;3-18;3-19,1
TAOS-ALG-TABLE-005,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.tables.apply_table_operation,taoryx.tables.apply_table_operation,tests/unit/test_tables.py,3-15,1
TAOS-ALG-TABLE-006,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.tables.clear_and_store,taoryx.tables.clear_and_store,tests/unit/test_tables.py,3-18,1
TAOS-ALG-TABLE-007,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.tables.execute_table_control_flow,taoryx.tables.evaluate_full_table,tests/unit/test_tables.py,3-20;3-21,1
TAOS-ALG-TABLE-008,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.tables.interpolate_skewed,taoryx.tables.interpolate_skewed,tests/unit/test_tables.py,3-22;3-23;3-24,1
TAOS-ALG-TABLE-009,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.tables.evaluate_table_references,taoryx.tables.accumulate_table_values,tests/unit/test_tables.py,3-5,1
TAOS-ALG-PRB-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.expressions.evaluate_definition_program,taoryx.runtime.expressions.evaluate_definition_program,tests/unit/test_runtime_algorithms.py,4-35;4-36;4-37;4-38;4-52;4-53,1
TAOS-ALG-PRB-002,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.expressions.integral_variable_derivatives,taoryx.runtime.expressions.integral_variable_derivatives,tests/unit/test_runtime_algorithms.py,4-35;4-36;4-37;4-38,1
TAOS-ALG-PRB-003,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.initialization.resolve_initial_state,taoryx.runtime.initialization.resolve_initial_state,tests/unit/test_runtime_algorithms.py,4-43;4-44;4-45,1
TAOS-ALG-PRB-004,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.events.apply_state_discontinuity,taoryx.runtime.events.apply_state_discontinuity,tests/unit/test_runtime_algorithms.py,4-20;4-21;4-22;4-30,1
TAOS-ALG-PRB-005,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.events.evaluate_when_conditions,taoryx.runtime.events.evaluate_when_conditions,tests/unit/test_runtime_algorithms.py,4-31;4-32,1
TAOS-ALG-PRB-006,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.guidance.resolve_fly_rules,taoryx.runtime.guidance.resolve_fly_rules,tests/unit/test_runtime_algorithms.py,4-13;4-14;4-15;4-16;4-17;4-18;4-19,1
TAOS-ALG-PRB-007,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.surveys.generate_survey_cases,taoryx.runtime.surveys.generate_survey_cases,tests/unit/test_runtime_algorithms.py,4-83;4-84,1
TAOS-ALG-PRB-008,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.search_runtime.execute_search_loops,taoryx.runtime.search_runtime.execute_search_loops,tests/unit/test_runtime_algorithms.py,4-76;4-77;4-78;4-79,1
TAOS-ALG-PRB-009,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.summaries.evaluate_summary,taoryx.runtime.summaries.evaluate_summary,tests/unit/test_runtime_algorithms.py,4-80;4-81;4-82,1
TAOS-ALG-PRB-010,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.optimization_runtime.resolve_optimize_block,taoryx.runtime.optimization_runtime.resolve_optimize_block,tests/unit/test_runtime_algorithms.py,4-62;4-63;4-64;4-65;4-66;4-67;4-68;4-69;4-70;4-71,1
TAOS-ALG-PRB-011,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.units.resolve_units_and_formats,taoryx.runtime.units.resolve_units_and_formats,tests/unit/test_runtime_algorithms.py,4-86;4-87;4-88,1
TAOS-ALG-PRB-012,cataloged,complete,true,true,true,unit_verified,unverified,taos_runtime.environment_runtime.evaluate_wind,taoryx.runtime.environment_runtime.evaluate_wind,tests/unit/test_runtime_algorithms.py,4-89;4-90,1
