equation,latex_label,section,source_manual_page,source_pdf_page,source_pdf_sha256,reconstructed_page,reconstructed_section,tex_file,tex_line_start,tex_line_end,tex_label_line,latex_snippet_sha256,transcription_status,verification_scope,validation_suite,code_implementation_status,notes
2-9,eq:geocentric-latitude-from-ecfc,Geocentric Coordinate System,2-10,39,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-6,Geocentric Coordinate System,manual/chapters/chapter02/01_04_geocentric.tex,52,57,56,207056ae7b015ce61eb81044873861421ab0f4ba6072ccab9f827209c3c30176,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geocentric latitude from ECFC position
2-10,eq:geocentric-velocity-x,Geocentric Coordinate System,2-11,40,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-7,Geocentric Coordinate System,manual/chapters/chapter02/01_04_geocentric.tex,87,92,91,9c7b919c816ead0e63215b80ca0906624c7435428014ca69639223f11a801492,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Local geocentric north velocity component
2-11,eq:geocentric-velocity-y,Geocentric Coordinate System,2-11,40,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-7,Geocentric Coordinate System,manual/chapters/chapter02/01_04_geocentric.tex,93,98,97,125bf21bb5754eeaffb74b8e00e678e4394f2462e2975227a1d19a38bfc081d3,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Local geocentric east velocity component
2-12,eq:geocentric-velocity-z,Geocentric Coordinate System,2-11,40,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-7,Geocentric Coordinate System,manual/chapters/chapter02/01_04_geocentric.tex,99,103,102,dc840fb0f90404220227d1120b19ca0b01e7e6ea06b252ea9cc52f9027da9d6a,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Local geocentric down velocity component
2-13,eq:geocentric-gamma-from-ecfc,Geocentric Coordinate System,2-11,40,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-7,Geocentric Coordinate System,manual/chapters/chapter02/01_04_geocentric.tex,105,110,109,3cb65d317800e1d74696572fe9271702f9253da58c694e81183d5cb4fb07fec5,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geocentric vertical flight-path angle
2-14,eq:geocentric-psi-from-ecfc,Geocentric Coordinate System,2-11,40,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-7,Geocentric Coordinate System,manual/chapters/chapter02/01_04_geocentric.tex,111,116,115,1ef70bfc0b7a482ff86c3e4bc3cbaa4d6daff5fd2d3ef7d902fd6f806f841820,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geocentric heading angle
2-15,eq:geocentric-to-ecfc-x,Geocentric Coordinate System,2-11,40,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-7,Geocentric Coordinate System,manual/chapters/chapter02/01_04_geocentric.tex,125,135,134,d01644444a255d5d920893ed538c59d52df7d9d06809854cb9fda7c9ea76867c,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geocentric-to-ECFC x velocity transformation
2-16,eq:geocentric-to-ecfc-y,Geocentric Coordinate System,2-11,40,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-8,Geocentric Coordinate System,manual/chapters/chapter02/01_04_geocentric.tex,136,146,145,f3d8a312d02b2bf286e5a7cd6a2af44bcf1743e4df020077f6cb35cc7d3e3ac8,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geocentric-to-ECFC y velocity transformation
2-17,eq:geocentric-to-ecfc-z,Geocentric Coordinate System,2-11,40,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-8,Geocentric Coordinate System,manual/chapters/chapter02/01_04_geocentric.tex,147,152,151,83e7a8893dc3f28f51e13f229a4a62df862f6a71cef397cd34764b4a500162d4,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geocentric-to-ECFC z velocity transformation
2-18,eq:ellipsoid-parameter-relation,Local Geodetic Horizon,2-12,41,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-8,Local Geodetic Horizon Coordinate System,manual/chapters/chapter02/01_05_local_geodetic.tex,10,13,12,8f459f66e425010eb37ae70e64bf2e903bddfc2d97d1039364935d0f7703cd86,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Ellipsoid radius eccentricity and flattening relation
2-19,eq:local-geodetic-x-unit-vector,Local Geodetic Horizon,2-13,42,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-8,Local Geodetic Horizon Coordinate System,manual/chapters/chapter02/01_05_local_geodetic.tex,41,48,47,096bc4393ef3f92d1effb8e31d70b7bff829be01217a1fa03d6b2b640a170da6,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Local geodetic north unit vector
2-20,eq:local-geodetic-y-unit-vector,Local Geodetic Horizon,2-13,42,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-8,Local Geodetic Horizon Coordinate System,manual/chapters/chapter02/01_05_local_geodetic.tex,49,54,53,438328ee6045d1b2638a2a8c4485c305de32231713f6437f7a5c30bf9dee11ac,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Local geodetic east unit vector
2-21,eq:local-geodetic-z-unit-vector,Local Geodetic Horizon,2-13,42,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-8,Local Geodetic Horizon Coordinate System,manual/chapters/chapter02/01_05_local_geodetic.tex,55,62,61,c6de333861f8df1632960cb82f393054eea366448871aac2ff9df71445efb188,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Local geodetic down unit vector
2-22,eq:ellipsoid-surface,Geodetic Coordinate System,2-14,43,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-9,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,14,19,18,084f067338429165157372b3d8964c0dcc565b0b204bf5afe09af44f166c9b9e,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Ellipsoid surface equation
2-23,eq:ellipsoid-plane-equation,Geodetic Coordinate System,2-14,43,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-9,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,33,36,35,a07fd3f3b6b1f31b499c26022104915b0e8768ded51ce91aefb4cdfa2822a622,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Ellipsoid meridional section equation
2-24,eq:geodetic-latitude-slope,Geodetic Coordinate System,2-15,44,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-9,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,40,43,42,b265cf0f397cb4f8cabe85042c8997a25264e6305b3f78c05e5e95b9f1b3cb8d,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geodetic latitude from surface-normal slope
2-25,eq:ellipsoid-surface-ratio,Geodetic Coordinate System,2-15,44,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-9,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,46,49,48,27f76f627101ea25e4858253d54c6ee18947957e28bd9c8878a6e97d2e08f5ad,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Ellipsoid surface coordinate ratio
2-26,eq:ellipsoid-xs,Geodetic Coordinate System,2-15,44,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-9,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,52,56,55,e45ea430bffc06de9cbf1e4406c119f3d9c8b703114643a283c36ca0256c7428,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Ellipsoid surface x coordinate
2-27,eq:ellipsoid-xs-normal,Geodetic Coordinate System,2-15,44,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-10,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,58,61,60,030a611bfa7b1a8f2a9ee4986a76b7039ee2f7b0fddf08f59f99954495a2c138,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Surface x coordinate in terms of normal radius
2-28,eq:ellipsoid-normal-distance,Geodetic Coordinate System,2-15,44,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-10,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,64,68,67,6da0c4b499fb136467fd8f8ea44ba032d849581570bfc24ec23cdba5041ef168,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Prime vertical radius of curvature
2-29,eq:ellipsoid-zs,Geodetic Coordinate System,2-15,44,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-10,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,70,74,73,baf34a99e21fcf0bb970503a075411a17e83844d671e1a4656123649a42eca56,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Ellipsoid surface z coordinate
2-30,eq:geodetic-position-x,Geodetic Coordinate System,2-16,45,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-10,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,107,110,109,6d269a77dda8e007c1d2b081bb0cb5d941a69aef19dd53a005a38674637e2787,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geodetic position ECFC x component
2-31,eq:geodetic-position-y,Geodetic Coordinate System,2-16,45,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-10,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,111,114,113,f19b65a39d7e833399ee82e5d3024cb49c3edbe57126ac60436c9a1a0b264bca,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geodetic position ECFC y component
2-32,eq:geodetic-position-z,Geodetic Coordinate System,2-16,45,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-10,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,115,119,118,ad3548d8a32d7432b987b2cade3869ad1c229572aaaa9d41683b7a60572b2092,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geodetic position ECFC z component
2-33,eq:geodetic-equatorial-projection,Geodetic Coordinate System,2-16,45,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-10,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,121,124,123,8a913a6495137366bdfceb429ac92c5f66f69d93e052ca40ce86bc716ae5660f,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Equatorial projection of geodetic position
2-34,eq:geodetic-axis-intercept,Geodetic Coordinate System,2-16,45,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-11,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,131,136,135,d4547325331128ae6df94dd262ff1b4a3615604333ee749e072dc59de6da7a61,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Surface-normal z-axis intercept
2-35,eq:initial-geodetic-latitude-estimate,Geodetic Coordinate System,2-17,46,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-11,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,138,142,141,837f21007b06a6b31670ab7fe1b248ee4126ef2dd9f4ee11df54500894f15584,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Initial spherical estimate of geodetic latitude
2-36,eq:initial-axis-intercept,Geodetic Coordinate System,2-17,46,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-11,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,145,148,147,86566113fda89fabaabbe1845d704b2943a1f4dcee119b593d0181b064b96f9a,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Initial z-axis intercept estimate
2-37,eq:geodetic-iteration-zd,Geodetic Coordinate System,2-17,46,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-11,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,150,153,152,6059ac3ca2e1acde387f08d6717b0d50a056662a2bb2b35268fd021ce9c2ec8c,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Iteration shifted z coordinate
2-38,eq:geodetic-iteration-altitude,Geodetic Coordinate System,2-17,46,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-11,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,154,157,156,ebcab1b8b4bad033aac4447f0e765bbcaade60862c786e2d36a8792f2e634539,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Iteration radius and altitude relation
2-39,eq:geodetic-iteration-latitude,Geodetic Coordinate System,2-17,46,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-11,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,158,161,160,6cd33aeceffa2335b5d837e8e42b61dbd974b4342ff51434d2c3dbb1d901714b,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Iteration geodetic latitude relation
2-40,eq:geodetic-iteration-normal,Geodetic Coordinate System,2-17,46,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-11,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,162,166,165,e72e09aa8f201a02c60d99c0b4a98109bb9c27f63f45dafbe9af4d85328bafe8,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Iteration normal radius
2-41,eq:geodetic-iteration-intercept,Geodetic Coordinate System,2-17,46,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-11,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,167,170,169,0fe5556722b9eb4bacee66ce28b48f37da8efbe95831cbbd741f0356b74e058c,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Iteration z-axis intercept update
2-42,eq:geodetic-velocity-x,Geodetic Coordinate System,2-18,47,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-11,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,193,198,197,ce56974d70a1e4fcaf9962293f7c26a03df29a3fe485ff9cf966ce90733f7e83,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Local geodetic north velocity component
2-43,eq:geodetic-velocity-y,Geodetic Coordinate System,2-18,47,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-11,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,199,204,203,af9c19b27a679666f186af87a44e2ba920bfd2f2c8291fe83c86c263daa1e245,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Local geodetic east velocity component
2-44,eq:geodetic-velocity-z,Geodetic Coordinate System,2-18,47,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-11,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,205,209,208,a132712eb2b425f4862087d66c893f8c994c278a596f0474ed9fba78009a8c08,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Local geodetic down velocity component
2-45,eq:geodetic-gamma-from-ecfc,Geodetic Coordinate System,2-18,47,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-11,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,211,216,215,bf09899703e54a53568ed256b4eaa17ccd4e581aecddbb730be94f6939200f7b,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geodetic vertical flight-path angle
2-46,eq:geodetic-psi-from-ecfc,Geodetic Coordinate System,2-18,47,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-12,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,217,222,221,d8a0fd805a7176ddaa06777dc14d513e282c6e4b72c70c8c2ac670937deb6bec,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geodetic heading angle
2-47,eq:geodetic-to-ecfc-x,Geodetic Coordinate System,2-18,47,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-12,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,230,240,239,c030814447c5663b07560b8a86db2797c8d51c13cac7d97109f341ce8bf1cece,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geodetic-to-ECFC x velocity transformation
2-48,eq:geodetic-to-ecfc-y,Geodetic Coordinate System,2-18,47,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-12,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,241,251,250,3f221beac59e4044307c68856ed87eb61cb3649eeb1f3bd17174f00a4e81ab49,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geodetic-to-ECFC y velocity transformation
2-49,eq:geodetic-to-ecfc-z,Geodetic Coordinate System,2-18,47,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-12,Geodetic Coordinate System,manual/chapters/chapter02/01_06_geodetic.tex,252,257,256,c49941aaea6d9e0e2e56e6847553fd06a031063bd7bc0a65456ff94f022cf9ea,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geodetic-to-ECFC z velocity transformation
2-50,eq:body-euler-transformation,Body-Fixed Cartesian Coordinate System,2-20,49,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-13,Body-Fixed Cartesian Coordinate System,manual/chapters/chapter02/01_07_body_fixed.tex,49,65,64,004ac7509a6049a5c755fec7ed5a088c09bdcca361f013c88268ddcb99e2f810,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Geodetic Euler rotation matrix
2-51,eq:body-x-from-geodetic-euler,Body-Fixed Cartesian Coordinate System,2-20,49,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-13,Body-Fixed Cartesian Coordinate System,manual/chapters/chapter02/01_07_body_fixed.tex,67,73,72,7f2e73707516f69bd4c47cf30280b228f562142726bac49703dd6d6797edd8c6,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Body x unit vector from geodetic Euler angles
2-52,eq:body-y-from-geodetic-euler,Body-Fixed Cartesian Coordinate System,2-20,49,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-13,Body-Fixed Cartesian Coordinate System,manual/chapters/chapter02/01_07_body_fixed.tex,74,85,84,b8c01f3216b203db6c3219b718689569ca9980ed134f51f1c4b17b5bfbe26116,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Body y unit vector from geodetic Euler angles
2-53,eq:body-z-from-geodetic-euler,Body-Fixed Cartesian Coordinate System,2-20,49,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-13,Body-Fixed Cartesian Coordinate System,manual/chapters/chapter02/01_07_body_fixed.tex,86,97,96,8733d2fa11f05893b2e6e139f049898335cc7803d08b71f1bc359f69f1312cde,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Body z unit vector from geodetic Euler angles
2-54,eq:geodetic-yaw-cosine,Body-Fixed Cartesian Coordinate System,2-21,50,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-13,Body-Fixed Cartesian Coordinate System,manual/chapters/chapter02/01_07_body_fixed.tex,106,112,111,82c3c6e9c4331ce407343ac864ba610a22cce52d7f0919182433568fd09fa00b,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Cosine of geodetic Euler yaw angle
2-55,eq:geodetic-yaw-sine,Body-Fixed Cartesian Coordinate System,2-21,50,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-13,Body-Fixed Cartesian Coordinate System,manual/chapters/chapter02/01_07_body_fixed.tex,113,119,118,088c7aee15626b9bb2e03356b5ad0095993dca213d2db10abe2b32516f120b41,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Sine of geodetic Euler yaw angle
2-56,eq:geodetic-pitch-from-body-axis,Body-Fixed Cartesian Coordinate System,2-21,50,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-13,Body-Fixed Cartesian Coordinate System,manual/chapters/chapter02/01_07_body_fixed.tex,120,124,123,303af04afe78520dfb7b3dd965a30dbc18dc923ffcb116c2d1a2119cbcc8dcf8,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Geodetic Euler pitch relation
2-57,eq:geodetic-roll-from-body-axis,Body-Fixed Cartesian Coordinate System,2-21,50,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-14,Body-Fixed Cartesian Coordinate System,manual/chapters/chapter02/01_07_body_fixed.tex,125,128,127,9372fcb33b41431c1a627931e3cc5d19c4ea5b18528e7fdb68c39c0b0a164c78,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part2.py,implemented,Geodetic Euler roll relation
